source,target,embedding_score
luego,da,0.1797
luego,schied,0.6934
luego,von,0.6934
luego,der,0.00875
luego,finsternis,0.1797
separó,und,-0.171
separó,gott,0.05185
separó,sah,0.6934
separó,",",0.1759
separó,daß,0.6934
separó,das,0.1797
separó,licht,0.0629
separó,gut,0.6934
separó,war,0.1759
separó,.,-0.171
separó,da,0.1797
separó,schied,0.6934
separó,von,0.6934
separó,der,0.00875
separó,finsternis,0.1797
de,gott,-0.1561
de,sah,0.03078
de,daß,0.03078
de,das,-0.02171
de,licht,-0.08453
de,gut,0.03078
de,da,-0.02171
de,schied,0.03078
de,von,0.03078
de,finsternis,-0.02171
oscuridad,gott,-0.1482
oscuridad,sah,0.00875
oscuridad,daß,0.00875
oscuridad,das,0.3096
oscuridad,licht,0.1813
oscuridad,gut,0.00875
oscuridad,da,0.3096
oscuridad,schied,0.00875
oscuridad,von,0.00875
oscuridad,finsternis,0.3096
dios,nannte,0.02554
dios,tag,0.02554
dios,nacht,0.02554
dios,aus,0.02554
dios,abend,0.02554
dios,morgen,0.02554
dios,erste,0.02554
llamó,und,0.005356
llamó,nannte,0.6934
llamó,das,0.1902
llamó,licht,0.01165
llamó,tag,0.6934
llamó,die,0.22
llamó,finsternis,0.1902
llamó,nacht,0.6934
llamó,.,0.005356
llamó,da,0.1902
llamó,ward,0.1707
llamó,aus,0.6934
llamó,abend,0.6934
llamó,morgen,0.6934
llamó,der,0.07886
llamó,erste,0.6934
a,und,0.005356
a,nannte,0.6934
a,das,0.1902
a,licht,0.01165
a,tag,0.6934
a,die,0.22
a,finsternis,0.1902
a,nacht,0.6934
a,.,0.005356
a,da,0.1902
a,ward,0.1707
a,aus,0.6934
a,abend,0.6934
a,morgen,0.6934
a,der,0.07886
a,erste,0.6934
la,nannte,0.1003
la,tag,0.1003
la,nacht,0.1003
la,ward,-0.12024
la,aus,0.1003
la,abend,0.1003
la,morgen,0.1003
la,erste,0.1003
luz,nannte,0.01165
luz,tag,0.01165
luz,die,-0.1006
luz,nacht,0.01165
luz,aus,0.01165
luz,abend,0.01165
luz,morgen,0.01165
luz,erste,0.01165
«,nannte,0.0444
«,das,-0.08136
«,tag,0.0444
«,die,-0.0963
«,finsternis,-0.08136
«,nacht,0.0444
«,da,-0.08136
«,aus,0.0444
«,abend,0.0444
«,morgen,0.0444
«,der,-0.1368
«,erste,0.0444
día,und,0.005356
día,nannte,0.6934
día,das,0.1902
día,licht,0.01165
día,tag,0.6934
día,die,0.22
día,finsternis,0.1902
día,nacht,0.6934
día,.,0.005356
día,da,0.1902
día,ward,0.1707
día,aus,0.6934
día,abend,0.6934
día,morgen,0.6934
día,der,0.07886
día,erste,0.6934
»,nannte,0.0444
»,das,-0.08136
»,tag,0.0444
»,die,-0.0963
»,finsternis,-0.08136
»,nacht,0.0444
»,da,-0.08136
»,aus,0.0444
»,abend,0.0444
»,morgen,0.0444
»,der,-0.1368
»,erste,0.0444
y,nannte,0.0775
y,tag,0.0775
y,nacht,0.0775
y,aus,0.0775
y,abend,0.0775
y,morgen,0.0775
y,erste,0.0775
oscuridad,nannte,0.07886
oscuridad,tag,0.07886
oscuridad,nacht,0.07886
oscuridad,ward,-0.07605
oscuridad,aus,0.07886
oscuridad,abend,0.07886
oscuridad,morgen,0.07886
oscuridad,erste,0.07886
noche,und,0.005356
noche,nannte,0.6934
noche,das,0.1902
noche,licht,0.01165
noche,tag,0.6934
noche,die,0.22
noche,finsternis,0.1902
noche,nacht,0.6934
noche,.,0.005356
noche,da,0.1902
noche,ward,0.1707
noche,aus,0.6934
noche,abend,0.6934
noche,morgen,0.6934
noche,der,0.07886
noche,erste,0.6934
.,nannte,0.0775
.,tag,0.0775
.,nacht,0.0775
.,aus,0.0775
.,abend,0.0775
.,morgen,0.0775
.,erste,0.0775
pasó,und,0.005356
pasó,nannte,0.6934
pasó,das,0.1902
pasó,licht,0.01165
pasó,tag,0.6934
pasó,die,0.22
pasó,finsternis,0.1902
pasó,nacht,0.6934
pasó,.,0.005356
pasó,da,0.1902
pasó,ward,0.1707
pasó,aus,0.6934
pasó,abend,0.6934
pasó,morgen,0.6934
pasó,der,0.07886
pasó,erste,0.6934
tarde,und,0.005356
tarde,nannte,0.6934
tarde,das,0.1902
tarde,licht,0.01165
tarde,tag,0.6934
tarde,die,0.22
tarde,finsternis,0.1902
tarde,nacht,0.6934
tarde,.,0.005356
tarde,da,0.1902
tarde,ward,0.1707
tarde,aus,0.6934
tarde,abend,0.6934
tarde,morgen,0.6934
tarde,der,0.07886
tarde,erste,0.6934
llegó,und,0.005356
llegó,nannte,0.6934
llegó,das,0.1902
llegó,licht,0.01165
llegó,tag,0.6934
llegó,die,0.22
llegó,finsternis,0.1902
llegó,nacht,0.6934
llegó,.,0.005356
llegó,da,0.1902
llegó,ward,0.1707
llegó,aus,0.6934
llegó,abend,0.6934
llegó,morgen,0.6934
llegó,der,0.07886
llegó,erste,0.6934
mañana,und,0.005356
mañana,nannte,0.6934
mañana,das,0.1902
mañana,licht,0.01165
mañana,tag,0.6934
mañana,die,0.22
mañana,finsternis,0.1902
mañana,nacht,0.6934
mañana,.,0.005356
mañana,da,0.1902
mañana,ward,0.1707
mañana,aus,0.6934
mañana,abend,0.6934
mañana,morgen,0.6934
mañana,der,0.07886
mañana,erste,0.6934
",",nannte,0.1282
",",das,-0.0635
",",licht,-0.1606
",",tag,0.1282
",",finsternis,-0.0635
",",nacht,0.1282
",",da,-0.0635
",",ward,-0.06247
",",aus,0.1282
",",abend,0.1282
",",morgen,0.1282
",",erste,0.1282
así,und,0.005356
así,nannte,0.6934
así,das,0.1902
así,licht,0.01165
así,tag,0.6934
así,die,0.22
así,finsternis,0.1902
así,nacht,0.6934
así,.,0.005356
así,da,0.1902
así,ward,0.1707
así,aus,0.6934
así,abend,0.6934
así,morgen,0.6934
así,der,0.07886
así,erste,0.6934
se,nannte,0.22
se,das,-0.0429
se,licht,-0.1006
se,tag,0.22
se,finsternis,-0.0429
se,nacht,0.22
se,da,-0.0429
se,ward,0.05603
se,aus,0.22
se,abend,0.22
se,morgen,0.22
se,erste,0.22
cumplió,und,0.005356
cumplió,nannte,0.6934
cumplió,das,0.1902
cumplió,licht,0.01165
cumplió,tag,0.6934
cumplió,die,0.22
cumplió,finsternis,0.1902
cumplió,nacht,0.6934
cumplió,.,0.005356
cumplió,da,0.1902
cumplió,ward,0.1707
cumplió,aus,0.6934
cumplió,abend,0.6934
cumplió,morgen,0.6934
cumplió,der,0.07886
cumplió,erste,0.6934
el,nannte,0.1967
el,das,-0.0792
el,licht,-0.1746
el,tag,0.1967
el,finsternis,-0.0792
el,nacht,0.1967
el,da,-0.0792
el,ward,-0.0108
el,aus,0.1967
el,abend,0.1967
el,morgen,0.1967
el,erste,0.1967
primer,und,0.005356
primer,nannte,0.6934
primer,das,0.1902
primer,licht,0.01165
primer,tag,0.6934
primer,die,0.22
primer,finsternis,0.1902
primer,nacht,0.6934
primer,.,0.005356
primer,da,0.1902
primer,ward,0.1707
primer,aus,0.6934
primer,abend,0.6934
primer,morgen,0.6934
primer,der,0.07886
primer,erste,0.6934
