vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
1TI 3:14,0.12286,418.0,0.2532,153.1,0.517,0.1056,215.0,0.8748827170076384,0.22110621992987387
1TI 3:15,0.05875,1242.0,0.2368,232.4,0.512,0.1719,551.5,0.7007001837784593,0.24592948284602803
1TI 3:16,0.0429,1162.0,0.243,188.2,0.539,0.1859,508.0,0.6400893430729042,0.2601375082375311
1TI 4:1,0.04944,2514.0,0.1775,222.6,0.355,0.2113,912.5,0.7578460051893271,0.19731388460286547
1TI 4:2,0.2281,3304.0,0.2153,215.1,0.5435,0.1765,1166.0,0.8999865648807381,0.23896137478248503
1TI 4:3,0.0472,1218.0,0.228,92.25,0.544,0.1863,441.0,0.7680200193509334,0.23439708428735528
1TI 4:4,0.0793,1618.0,0.2563,287.0,0.5815,0.1538,628.5,0.8260910386361918,0.2436037425894568
1TI 4:5,0.1434,609.0,0.199,225.8,0.3762,0.1106,368.0,0.8919132747908248,0.18339939708718425
1TI 4:6,0.04443,1859.0,0.1511,238.4,0.3396,0.1576,766.0,0.7919028680848831,0.17236160374935
1TI 4:7,0.07294,2718.0,0.2421,175.1,0.3918,0.2778,1028.0,0.7321985191192654,0.23652637413716188
1TI 4:8,0.05093,2190.0,0.2109,258.5,0.5273,0.2151,814.0,0.7653569594499636,0.2387849165246223
1TI 4:9,0.1884,3048.0,0.1755,385.2,0.504,0.2181,1236.0,0.7205409236459099,0.2594388536106411
1TI 4:10,0.04282,456.0,0.1632,231.6,0.5093,0.1234,340.8,0.8605263738749245,0.19092269130778516
1TI 4:11,0.2301,563.0,0.2207,292.2,0.4421,0.1364,457.0,0.7697524172256581,0.24503350115402694
1TI 4:12,0.03516,1392.0,0.1638,148.6,0.4973,0.1371,518.5,0.7594722504419059,0.2054797863268271
1TI 4:13,0.07996,2662.0,0.1855,178.4,0.5444,0.1633,938.0,0.8975227533763903,0.20752952471953837
1TI 4:14,0.0776,1639.0,0.187,152.6,0.463,0.12103,628.5,0.8733585728043237,0.18658622730297186
