vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 5:15,0.1059,1213.0,0.3967,351.2,0.6914,0.228,726.5,0.727684879698105,0.32663723322900445
MAT 5:16,0.1007,1196.0,0.282,317.2,0.567,0.1619,690.5,0.6061662194603511,0.28578265702605143
MAT 5:17,0.1179,965.5,0.3694,217.2,0.5693,0.1401,588.5,0.69538479241472,0.2882051908920779
MAT 5:18,0.11975,1015.0,0.3237,266.0,0.6567,0.2063,571.0,0.6704108392535266,0.3131597938745493
MAT 5:19,0.05957,779.5,0.3513,179.1,0.652,0.1631,473.8,0.6756957957699622,0.2986199668291736
MAT 5:20,0.1133,529.5,0.3557,181.8,0.589,0.1399,299.8,0.7159618504305949,0.2840666071169014
MAT 5:21,0.04297,1170.0,0.2373,189.4,0.619,0.212,702.5,0.7543129894915623,0.2628685268142755
MAT 5:22,0.05356,1050.0,0.274,289.2,0.4534,0.1847,634.0,0.7122135518932184,0.23939596243161143
MAT 5:23,0.119,764.0,0.327,205.2,0.5757,0.1196,434.2,0.8020672799916863,0.25918692243532093
MAT 5:24,0.1282,1276.0,0.3242,338.2,0.622,0.2452,743.0,0.60903198894071,0.32711199863233836
MAT 5:25,0.06015,1206.0,0.322,295.8,0.5537,0.1615,669.0,0.7125268512612282,0.26621203588859044
MAT 5:26,0.10486,887.5,0.381,210.4,0.655,0.2247,545.5,0.6502570966621634,0.3273263678340775
MAT 5:27,0.1139,85.2,0.3005,40.8,0.6104,0.1489,74.0,0.7171521463686998,0.2834629502465999
MAT 5:28,0.19,1324.0,0.2976,338.5,0.5444,0.1598,808.5,0.7626812110892379,0.2761748431345628
MAT 5:29,0.0794,1242.0,0.3088,337.8,0.6494,0.1807,705.5,0.7606808620313869,0.28165648682188066
MAT 5:30,0.10034,728.0,0.3179,231.2,0.674,0.1283,425.0,0.7914172267133747,0.27726162882062944
MAT 5:31,0.1274,1491.0,0.393,228.9,0.7344,0.2136,888.5,0.7586234376780733,0.3317112577134623
MAT 5:32,0.0806,967.0,0.3672,289.0,0.63,0.1741,588.0,0.7144031678087834,0.2961602289118789
MAT 5:33,0.0854,1071.0,0.2568,230.5,0.601,0.1454,608.0,0.7634104308496786,0.25374425842543985
MAT 5:34,0.1144,1098.0,0.3716,291.2,0.627,0.1919,689.0,0.7071259974917332,0.30655527395902205
MAT 5:35,0.1023,1663.0,0.4531,384.8,0.599,0.1812,969.5,0.827829921609274,0.29375862463674657
MAT 5:36,0.0676,759.5,0.4197,171.4,0.718,0.1765,461.2,0.7641769602173603,0.31413582134737644
MAT 5:37,0.0699,1667.0,0.2998,287.0,0.5054,0.1578,974.0,0.7961087119916619,0.23943255437048683
MAT 5:38,0.1027,1159.0,0.3403,390.8,0.755,0.1288,651.5,0.7869645107421638,0.30065506756557764
MAT 5:39,0.1148,1603.0,0.3257,467.5,0.6016,0.2441,943.5,0.695952671012941,0.3013308465802411
MAT 5:40,0.187,1740.0,0.508,447.2,0.7817,0.139,1000.5,0.7846790704817264,0.35680451913862654
MAT 5:41,0.1471,1393.0,0.308,471.5,0.688,0.2186,779.5,0.8187896876256053,0.29950447859033885
MAT 5:42,0.1624,1975.0,0.434,501.5,0.6973,0.1907,1140.0,0.7491147424386128,0.3358525442857699
MAT 5:43,0.07745,1810.0,0.361,541.5,0.635,0.2471,1030.0,0.6157159760287569,0.32540278805154615
MAT 5:44,0.1462,1812.0,0.4265,518.5,0.6396,0.2334,1093.0,0.5803275454539357,0.3561884325270386
MAT 5:45,0.07135,1378.0,0.297,389.5,0.6,0.1982,794.0,0.7575645421958634,0.2688006440651523
MAT 5:46,0.1086,1963.0,0.3518,436.0,0.5776,0.1987,1104.0,0.7040338045840475,0.2931015590505956
MAT 5:47,0.126,1261.0,0.4414,264.5,0.686,0.12,700.5,0.7248101771929719,0.3200025642295387
MAT 5:48,0.1724,1719.0,0.43,449.5,0.733,0.215,984.0,0.6398251497186696,0.36833290832885063
MAT 6:1,0.06415,536.0,0.2969,131.0,0.5977,0.0849,307.2,0.7961314196064105,0.24218183962094525
MAT 6:2,0.05606,1071.0,0.3044,319.2,0.661,0.2085,629.5,0.6558728821666043,0.30259316945896003
MAT 6:3,0.1896,1377.0,0.337,275.2,0.62,0.1609,763.5,0.8018765428682156,0.2930654353137317
MAT 6:4,0.06854,1072.0,0.3938,305.0,0.6455,0.1503,578.5,0.7327109709508651,0.2952873508709034
MAT 6:5,0.05658,852.5,0.3398,296.5,0.579,0.1696,501.0,0.7347654930673012,0.27086540511453117
MAT 6:6,0.08856,735.5,0.3877,177.2,0.7026,0.1537,402.2,0.7164537234806938,0.3123659436661524
MAT 6:7,0.09906,1497.0,0.318,337.2,0.6904,0.309,882.5,0.8429752385221851,0.29540882486963665
MAT 6:8,0.08453,838.0,0.344,238.6,0.6553,0.1355,486.0,0.8192509443569509,0.2690445707365053
MAT 6:9,0.1353,946.5,0.4465,276.8,0.6978,0.2272,559.5,0.6287083902108439,0.36078400160853924
MAT 6:10,0.157,2082.0,0.321,443.2,0.436,0.2466,1196.0,0.693624281222737,0.281108189442944
MAT 6:11,0.152,1656.0,0.3738,446.8,0.674,0.27,954.5,0.6803021564300727,0.3432202058989254
MAT 6:12,0.1649,2538.0,0.276,749.0,0.6455,0.2294,1435.0,0.8215073083862483,0.28325858755321065
MAT 6:13,0.09784,1809.0,0.427,459.2,0.5454,0.2063,1048.0,0.8114240529691993,0.28405342046295284
MAT 6:14,0.1323,2332.0,0.284,641.0,0.4712,0.2047,1344.0,0.7682892588162755,0.25237373634705723
MAT 6:15,0.0802,1138.0,0.3667,270.0,0.647,0.1184,692.0,0.6747546277974915,0.29352905673734536
MAT 6:16,0.06824,652.0,0.3967,204.0,0.6567,0.2114,407.2,0.7015242828466312,0.3148761539699709
MAT 6:17,0.211,2352.0,0.4097,583.0,0.6465,0.2915,1326.0,0.7059735322094262,0.3578048532578133
MAT 6:18,0.0778,20.5,0.4043,15.0,0.7715,0.1082,8.86,0.7477768927933088,0.31270454073969384
MAT 6:19,0.10974,1263.0,0.4492,328.8,0.752,0.2827,738.5,0.6232515276945603,0.3780157504936818
MAT 6:20,0.08624,684.0,0.3823,168.0,0.7437,0.2352,377.2,0.6275290485600058,0.35034167466287724
MAT 6:21,0.1577,2104.0,0.2888,532.5,0.6357,0.1874,1200.0,0.7178784690724261,0.2979732877820927
MAT 6:22,0.1865,1027.0,0.3787,232.5,0.7515,0.3184,626.0,0.5939508892526911,0.38998511027381233
MAT 6:23,0.0835,1209.0,0.3547,218.2,0.6494,0.2374,710.5,0.666852078564125,0.3188136423418476
MAT 6:24,0.0897,1155.0,0.41,287.8,0.6416,0.2294,671.5,0.6787663197075793,0.3253145388050797
